Detector,Exercise,Classifier,Accuracy,Precision,Recall,F1,Mean Angular DTW (°)
YOLO,1_Lifting an Object,Random Forest,0.45,0.0,0.0,0.0,N/A
YOLO,1_Lifting an Object,Angular DTW,0.5,0.5,1.0,0.6667,56.9105
YOLO,2_Extending the Elbow,Random Forest,0.5,0.0,0.0,0.0,N/A
YOLO,2_Extending the Elbow,Angular DTW,1.0,1.0,1.0,1.0,6.1922
YOLO,3_Lifting the Wrist,Random Forest,0.5,0.5,0.6,0.5455,N/A
YOLO,3_Lifting the Wrist,Angular DTW,0.5,0.5,0.9,0.6429,62.7387
YOLO,4_Opening the Hand,Random Forest,0.55,1.0,0.1,0.1818,N/A
YOLO,4_Opening the Hand,Angular DTW,0.7,1.0,0.4,0.5714,43.8415
MediaPipe,1_Lifting an Object,Random Forest,0.5,0.0,0.0,0.0,N/A
MediaPipe,1_Lifting an Object,Angular DTW,0.15,0.2308,0.3,0.2609,32.9452
MediaPipe,2_Extending the Elbow,Random Forest,0.55,1.0,0.1,0.1818,N/A
MediaPipe,2_Extending the Elbow,Angular DTW,0.1,0.1667,0.2,0.1818,38.2621
MediaPipe,3_Lifting the Wrist,Random Forest,0.4,0.0,0.0,0.0,N/A
MediaPipe,3_Lifting the Wrist,Angular DTW,0.45,0.4,0.2,0.2667,41.4967
MediaPipe,4_Opening the Hand,Random Forest,0.4,0.4167,0.5,0.4545,N/A
MediaPipe,4_Opening the Hand,Angular DTW,0.35,0.2857,0.2,0.2353,46.6561
